Equipo,Sección,Sectores,Link Certificación
137,Carro,"(cancamos superiores e inferiores, lado izq y derch)",https://www.canva.com/design/DAGdAkx-QrQ/rZL-cg-6QiJ9TJIclqt3kw/edit
137 A,Carro,(inferior lado trasero carro tripper),https://www.canva.com/design/DAGetrvPhvc/LrXNqrPvAm0pugzsLAayJg/edit
134A,A,Polea deflectora culata ,https://www.canva.com/design/DAGdarEYTag/SVIe2za8Pxj76yxNcxVtZw/edit
134A,A,polea n°1,https://www.canva.com/design/DAGdapwWx0M/Z3o3wCOWYX6GoUoychXUeQ/edit
CHAT 1 ,A,Puntos de anclaje: en  CHAT1 Y CHAT 2Y 3,https://www.canva.com/design/DAGdBRWdwZQ/-oa_Iv-FlwDIy5GxROSXTA/edit?ui=eyJEIjp7IkYiOjF9fQ
CHAT 2,A,Sector chancado fino SH-2,https://www.canva.com/design/DAGdBEqCh5I/oeT2jYNGdPoBp_YjYOtO5g/edit
CT 140A,A,orejas de izaje  CT 140A,https://www.canva.com/design/DAGdBZ0xZVc/9U21eiYNTRq-kgt58KsjKA/edit
CT 141A,A,liquidos penetratantes  a puntos de anclaje CT 141A,https://www.canva.com/design/DAGdB1owIps/Vm7GzYC89x2rTJyEInVSlA/edit
MP-1000,A,puntos de anclave en: mp-1000 y CH 2 y 3,https://www.canva.com/design/DAGdBsCbxdk/mIemxf5M9g8whMguj8aK0A/edit
1C ,Alimentador,intersecciones de alimenador ,https://www.canva.com/design/DAGdZgPMm8I/nLpo7NHD9pBF1mevMoxgvg/edit
1D ,Alimentador,(Intersecciones de alimentadores),https://www.canva.com/design/DAGdZkSQJbY/3VLe2uKuAf8tbGx5QeAgAw/edit
2A,Alimentador,intersecciones de alimenador ,https://www.canva.com/design/DAGdZgPMm8I/nLpo7NHD9pBF1mevMoxgvg/edit
2C,Alimentador,intersecciones de alimenador ,https://www.canva.com/design/DAGdZgPMm8I/nLpo7NHD9pBF1mevMoxgvg/edit
3B,Alimentador,(Intersecciones de alimentadores),https://www.canva.com/design/DAGdZkSQJbY/3VLe2uKuAf8tbGx5QeAgAw/edit
1A,Alimentador,intersecciones de alimenador ,https://www.canva.com/design/DAGdZgPMm8I/nLpo7NHD9pBF1mevMoxgvg/edit
1B,Alimentador,(Intersecciones de alimentadores),https://www.canva.com/design/DAGdZkSQJbY/3VLe2uKuAf8tbGx5QeAgAw/edit
3D,Alimentador,(Intersecciones de alimentadores),https://www.canva.com/design/DAGdZkSQJbY/3VLe2uKuAf8tbGx5QeAgAw/edit
4C,Alimentador,orejas de izaje excitador ,
CHAS 2,B,Puntos de anclaje chas 2,https://www.canva.com/design/DAGgtB0dRTw/TxHWXMVr9x2dMJm8BlxLWg/edit
CHAT 3,B,Sector chancado fino SH-3,https://www.canva.com/design/DAGdBOiIQEw/04y2kJwCTKZatlH0nFAO8w/edit
CHAT4 ,B,liquidos penetratantes  a puntos de anclaje CHAT 4 Y CH 2 Y 3,https://www.canva.com/design/DAGdBpFYehE/CgIDvdHGihPkt7Zf7TAPXQ/edit
CT 134B ,B,Puntos de anclajes en sector central CT 134B,https://www.canva.com/design/DAGdaeH0jAw/4_m78nPcGAmL2tv25TaoaA/edit
135C,C,Polea culata ,https://www.canva.com/design/DAGdAz9XsvA/Bh_kV_e33xX1s7zzp0czHg/edit?ui=eyJEIjp7IkYiOjF9fQ
CHAS 3,C,Cancamos de anclaje CHAS 3,
CHAT 6,C,chancador fino sh-6,https://www.canva.com/design/DAGdAwYPEpQ/NLTagyi0iru5A6t0xBMZaQ/edit
137,Carro,estructura inferior del carro tripper  CT-137 ,https://www.canva.com/design/DAGdB7GsN6s/k3nnnoa5VzcIIu2TmTO7pg/edit
137A,Carro,Orejas de izaje polea n° 9 ,https://www.canva.com/design/DAGiLhLMXrI/rIi-7_eBEBcjuR22kBwLKw/edit
137A,Carro,Orejas de izajes en polea posicion y y en viga ,https://www.canva.com/design/DAGdZ8BtTzA/mpnLJIg6_Y9Qpz9Wp997gw/edit
137A,Carro,Carro tripper,https://www.canva.com/design/DAGdA-7YKng/7CrvzbIG0_OjieoNxGWXKA/edit
136,CT-136,(Polea de cola sector 2rio y 3rio),https://www.canva.com/design/DAGdZhiFhzM/wP2X6Cubu1eh1BvZLyM9oA/edit
136,CT-136,orejas de izaje en CT 136 ,https://www.canva.com/design/DAGdZ26SbBA/BeN4fZzBiURc505pPUlMdg/edit
136B ,CT-136B,Estructura 136B,https://www.canva.com/design/DAGeubKsX6M/e029UTmHuHj84rBfkZ5mAg/edit
136C,CT-136C,"(orejas izaje : carro tensor izq y der, polea n°6 izq y der, est n°86 izq, est n°91 izq)",https://www.canva.com/design/DAGdZIzxKbQ/2zbT7UaKd-JnQ1g6w0mw0g/edit
136C,CT-136C,Estructura y polea CT 136C,https://www.canva.com/design/DAGdBEPShHM/7w7IXm8ugz4Ftpbl4YQf3w/edit
138,CT-138,(cajon de descarga y estructura CT),https://www.canva.com/design/DAGdZoNn8J8/B7tmytBVeAo6G6RJMJCGDA/edit
C T 138,CT-138,Zona polea culata,https://www.canva.com/design/DAGdZqzWUHw/_EK183f81XbGz6ixCM2FPQ/edit
135D,D,Polea deflectora culata ,https://www.canva.com/design/DAGdB7gByrQ/PMbmnPAdt4CVX8sYKsNsuQ/edit
CHAT 7 ,D,orejas de anclajes en estructura CHAT7 ,https://www.canva.com/design/DAGdBeHXUJQ/kbtKzNf_VvybNw4Hnk_YvA/edit
CHAT 8 ,D,Estructura de CHAT 8 ,https://www.canva.com/design/DAGdBtFSM4A/XAlF94fd5Q18WD9mEeCceg/edit
134E,E,(estructura correa: Lado izq y derech  superior y lado izq y derech inferior),https://www.canva.com/design/DAGdZOpx9Zs/YIR_o05wc2rhgn4LfImv7g/edit
135E,E,Estructura 135E,https://www.canva.com/design/DAGdajs1MVk/dpfLb22m-Q1heAD2iFSNiQ/edit
CHAS 5,E,En estructura CS-5,https://www.canva.com/design/DAGdA_JdMuE/M8UB7vJJnRWkUFf8B3LyNg/edit
CHAT 10,E,Orejas de anclaje CHAT 10,https://www.canva.com/design/DAGdBTFtMA0/H3w5oU-wBvPY0m3vCNUk_A/edit
CHAT 9,E,Chute descarga fino ,https://www.canva.com/design/DAGdanvDBT8/v6VSFfFwQMclfGtg8hs6Dw/edit?ui=eyJEIjp7IkYiOjF9fQ
CT-134E,E,Izaje en polea culata,https://www.canva.com/design/DAGdBTGK5ZE/bBQZUhns6irtsi4Y7YIMbA/edit
CHAT10,E,Buzón CHAT 10,
CHAS 3,C,Oreja 1 ,
MP-1000,A,Oreja 1 y 2 ,
CHAS 3 ,C,Atril METSO ,
CHAT 6,C,Cancamo 1 y 2,
CHAT 5,C,Cancamo 1 y 2,
CT 141 ,A,oreja anclaje (Tiro) y pilar acceso a correa,
CT 140,A,oreja anclaje (Tiro),
CT 137 A,Carro,estructura inferior del carro tripper  CT-137 A,
CT 137 A,Carro,estructura inferior del carro tripper  CT-137 A,
CT 136 C,CT-136C,POLEA Y ESTRUCTURA DE CT 136C,
CT 1A,A,Orejas Buzón Alimentación,
CT 136B,B,Orejas en estructura de correa 136B y debajo mesa polines,

