Equipo,Sección,Link Certificación
137,Carro,https://www.canva.com/design/DAGdAkx-QrQ/rZL-cg-6QiJ9TJIclqt3kw/edit
137 A,Carro,https://www.canva.com/design/DAGetrvPhvc/LrXNqrPvAm0pugzsLAayJg/edit
134A,A,https://www.canva.com/design/DAGdarEYTag/SVIe2za8Pxj76yxNcxVtZw/edit
134A,A,https://www.canva.com/design/DAGdapwWx0M/Z3o3wCOWYX6GoUoychXUeQ/edit
CHAT 1 ,A,https://www.canva.com/design/DAGdBRWdwZQ/-oa_Iv-FlwDIy5GxROSXTA/edit?ui=eyJEIjp7IkYiOjF9fQ
CHAT 2,A,https://www.canva.com/design/DAGdBEqCh5I/oeT2jYNGdPoBp_YjYOtO5g/edit
CT 140A,A,https://www.canva.com/design/DAGdBZ0xZVc/9U21eiYNTRq-kgt58KsjKA/edit
CT 141A,A,https://www.canva.com/design/DAGdB1owIps/Vm7GzYC89x2rTJyEInVSlA/edit
MP-1000,A,https://www.canva.com/design/DAGdBsCbxdk/mIemxf5M9g8whMguj8aK0A/edit
1C ,Alimentador,https://www.canva.com/design/DAGdZgPMm8I/nLpo7NHD9pBF1mevMoxgvg/edit
1D ,Alimentador,https://www.canva.com/design/DAGdZkSQJbY/3VLe2uKuAf8tbGx5QeAgAw/edit
2A,Alimentador,https://www.canva.com/design/DAGdZgPMm8I/nLpo7NHD9pBF1mevMoxgvg/edit
2C,Alimentador,https://www.canva.com/design/DAGdZgPMm8I/nLpo7NHD9pBF1mevMoxgvg/edit
3B,Alimentador,https://www.canva.com/design/DAGdZkSQJbY/3VLe2uKuAf8tbGx5QeAgAw/edit
1A,Alimentador,https://www.canva.com/design/DAGdZgPMm8I/nLpo7NHD9pBF1mevMoxgvg/edit
1B,Alimentador,https://www.canva.com/design/DAGdZkSQJbY/3VLe2uKuAf8tbGx5QeAgAw/edit
3D,Alimentador,https://www.canva.com/design/DAGdZkSQJbY/3VLe2uKuAf8tbGx5QeAgAw/edit
4C,Alimentador,
CHAS 2,B,https://www.canva.com/design/DAGgtB0dRTw/TxHWXMVr9x2dMJm8BlxLWg/edit
CHAT 3,B,https://www.canva.com/design/DAGdBOiIQEw/04y2kJwCTKZatlH0nFAO8w/edit
CHAT4 ,B,https://www.canva.com/design/DAGdBpFYehE/CgIDvdHGihPkt7Zf7TAPXQ/edit
CT 134B ,B,https://www.canva.com/design/DAGdaeH0jAw/4_m78nPcGAmL2tv25TaoaA/edit
135C,C,https://www.canva.com/design/DAGdAz9XsvA/Bh_kV_e33xX1s7zzp0czHg/edit?ui=eyJEIjp7IkYiOjF9fQ
CHAS 3,C,
CHAT 6,C,https://www.canva.com/design/DAGdAwYPEpQ/NLTagyi0iru5A6t0xBMZaQ/edit
137,Carro,https://www.canva.com/design/DAGdB7GsN6s/k3nnnoa5VzcIIu2TmTO7pg/edit
137A,Carro,https://www.canva.com/design/DAGiLhLMXrI/rIi-7_eBEBcjuR22kBwLKw/edit
137A,Carro,https://www.canva.com/design/DAGdZ8BtTzA/mpnLJIg6_Y9Qpz9Wp997gw/edit
137A,Carro,https://www.canva.com/design/DAGdA-7YKng/7CrvzbIG0_OjieoNxGWXKA/edit
136,CT-136,https://www.canva.com/design/DAGdZhiFhzM/wP2X6Cubu1eh1BvZLyM9oA/edit
136,CT-136,https://www.canva.com/design/DAGdZ26SbBA/BeN4fZzBiURc505pPUlMdg/edit
136B ,CT-136B,https://www.canva.com/design/DAGeubKsX6M/e029UTmHuHj84rBfkZ5mAg/edit
136C,CT-136C,https://www.canva.com/design/DAGdZIzxKbQ/2zbT7UaKd-JnQ1g6w0mw0g/edit
136C,CT-136C,https://www.canva.com/design/DAGdBEPShHM/7w7IXm8ugz4Ftpbl4YQf3w/edit
138,CT-138,https://www.canva.com/design/DAGdZoNn8J8/B7tmytBVeAo6G6RJMJCGDA/edit
C T 138,CT-138,https://www.canva.com/design/DAGdZqzWUHw/_EK183f81XbGz6ixCM2FPQ/edit
135D,D,https://www.canva.com/design/DAGdB7gByrQ/PMbmnPAdt4CVX8sYKsNsuQ/edit
CHAT 7 ,D,https://www.canva.com/design/DAGdBeHXUJQ/kbtKzNf_VvybNw4Hnk_YvA/edit
CHAT 8 ,D,https://www.canva.com/design/DAGdBtFSM4A/XAlF94fd5Q18WD9mEeCceg/edit
134E,E,https://www.canva.com/design/DAGdZOpx9Zs/YIR_o05wc2rhgn4LfImv7g/edit
135E,E,https://www.canva.com/design/DAGdajs1MVk/dpfLb22m-Q1heAD2iFSNiQ/edit
CHAS 5,E,https://www.canva.com/design/DAGdA_JdMuE/M8UB7vJJnRWkUFf8B3LyNg/edit
CHAT 10,E,https://www.canva.com/design/DAGdBTFtMA0/H3w5oU-wBvPY0m3vCNUk_A/edit
CHAT 9,E,https://www.canva.com/design/DAGdanvDBT8/v6VSFfFwQMclfGtg8hs6Dw/edit?ui=eyJEIjp7IkYiOjF9fQ
CT-134E,E,https://www.canva.com/design/DAGdBTGK5ZE/bBQZUhns6irtsi4Y7YIMbA/edit
CHAT10,E,
CHAS 3,C,
MP-1000,A,
CHAS 3 ,C,
CHAT 6,C,
CHAT 5,C,
CT 141 ,A,
CT 140,A,
CT 137 A,Carro,
CT 137 A,Carro,
CT 136 C,CT-136C,
CT 1A,A,
CT 136B,B,
